Full_Departure_Datetime,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,DEP_TIME,ARR_TIME
2017-01-09 12:42:00,2017-01-09,OO,20304,OO,N629BR,4518,10135,1013503,30135,11433,31295,DTW,1242,1428.0
2017-01-09 17:30:00,2017-01-09,OO,20304,OO,N629BR,4801,10135,1013503,30135,11433,31295,DTW,1730,1927.0
2017-01-10 05:57:00,2017-01-10,DL,19790,DL,N965AT,2561,10135,1013503,30135,10397,30397,ATL,0557,816.0
2017-01-10 06:05:00,2017-01-10,EV,20366,EV,N16149,3761,10135,1013503,30135,13930,30977,ORD,0605,722.0
2017-01-10 17:55:00,2017-01-10,EV,20366,EV,N605QX,5267,10135,1013503,30135,10397,30397,ATL,1755,2011.0
2017-01-10 10:00:00,2017-01-10,EV,20366,EV,N917EV,5307,10135,1013503,30135,11433,31295,DTW,1000,1145.0
2017-01-10 12:52:00,2017-01-10,OO,20304,OO,N439SW,4518,10135,1013503,30135,11433,31295,DTW,1252,1443.0
2017-01-10 17:40:00,2017-01-10,OO,20304,OO,N442SW,4797,10135,1013503,30135,11433,31295,DTW,1740,1930.0
2017-01-11 05:57:00,2017-01-11,DL,19790,DL,N921AT,2561,10135,1013503,30135,10397,30397,ATL,0557,806.0
2017-01-11 05:59:00,2017-01-11,EV,20366,EV,N13538,3761,10135,1013503,30135,13930,30977,ORD,0559,731.0
2017-01-11 17:57:00,2017-01-11,EV,20366,EV,N153PQ,5267,10135,1013503,30135,10397,30397,ATL,1757,2003.0
2017-01-11 12:41:00,2017-01-11,EV,20366,EV,N881AS,5307,10135,1013503,30135,11433,31295,DTW,1241,1427.0
2017-01-11 12:31:00,2017-01-11,OO,20304,OO,N443SW,4518,10135,1013503,30135,11433,31295,DTW,1231,1412.0
2017-01-11 17:23:00,2017-01-11,OO,20304,OO,N457SW,4797,10135,1013503,30135,11433,31295,DTW,1723,1921.0
2017-01-12 05:57:00,2017-01-12,DL,19790,DL,N940AT,2561,10135,1013503,30135,10397,30397,ATL,0557,756.0
2017-01-12 06:01:00,2017-01-12,EV,20366,EV,N10575,3761,10135,1013503,30135,13930,30977,ORD,0601,744.0
2017-01-12 18:13:00,2017-01-12,EV,20366,EV,N14916,3982,10135,1013503,30135,13930,30977,ORD,1813,1943.0
2017-01-12 13:06:00,2017-01-12,EV,20366,EV,N186PQ,5326,10135,1013503,30135,10397,30397,ATL,1306,1513.0
2017-01-12 17:55:00,2017-01-12,EV,20366,EV,N606LR,5267,10135,1013503,30135,10397,30397,ATL,1755,1958.0
2017-01-12 05:41:00,2017-01-12,EV,20366,EV,N871AS,5307,10135,1013503,30135,11433,31295,DTW,0541,713.0
2017-01-12 12:35:00,2017-01-12,OO,20304,OO,N685BR,4518,10135,1013503,30135,11433,31295,DTW,1235,1430.0
2017-01-12 17:24:00,2017-01-12,OO,20304,OO,N889AS,4797,10135,1013503,30135,11433,31295,DTW,1724,1930.0
2017-01-13 05:54:00,2017-01-13,DL,19790,DL,N974AT,2561,10135,1013503,30135,10397,30397,ATL,0554,754.0
2017-01-13 17:08:00,2017-01-13,EV,20366,EV,N11192,3982,10135,1013503,30135,13930,30977,ORD,1708,1837.0
2017-01-13 13:04:00,2017-01-13,EV,20366,EV,N137EV,5326,10135,1013503,30135,10397,30397,ATL,1304,1513.0
2017-01-13 06:04:00,2017-01-13,EV,20366,EV,N16919,3761,10135,1013503,30135,13930,30977,ORD,0604,724.0
2017-01-13 17:55:00,2017-01-13,EV,20366,EV,N232PQ,5267,10135,1013503,30135,10397,30397,ATL,1755,2011.0
2017-01-13 05:35:00,2017-01-13,EV,20366,EV,N873AS,5307,10135,1013503,30135,11433,31295,DTW,0535,715.0
2017-01-13 17:30:00,2017-01-13,OO,20304,OO,N431SW,4797,10135,1013503,30135,11433,31295,DTW,1730,1932.0
2017-01-13 12:31:00,2017-01-13,OO,20304,OO,N8933B,4518,10135,1013503,30135,11433,31295,DTW,1231,1414.0
2017-01-14 05:59:00,2017-01-14,DL,19790,DL,N968AT,2561,10135,1013503,30135,10397,30397,ATL,0559,758.0
2017-01-14 06:03:00,2017-01-14,EV,20366,EV,N14568,3761,10135,1013503,30135,13930,30977,ORD,0603,732.0
2017-01-15 06:48:00,2017-01-15,DL,19790,DL,N989AT,1084,10135,1013503,30135,10397,30397,ATL,0648,907.0
2017-01-15 06:08:00,2017-01-15,EV,20366,EV,N10575,3761,10135,1013503,30135,13930,30977,ORD,0608,748.0
2017-01-15 17:08:00,2017-01-15,EV,20366,EV,N11547,3982,10135,1013503,30135,13930,30977,ORD,1708,1819.0
2017-01-15 12:36:00,2017-01-15,OO,20304,OO,N8968E,4518,10135,1013503,30135,11433,31295,DTW,1236,1444.0
2017-01-16 05:56:00,2017-01-16,DL,19790,DL,N950AT,2561,10135,1013503,30135,10397,30397,ATL,0556,900.0
2017-01-16 17:57:00,2017-01-16,EV,20366,EV,N146PQ,5267,10135,1013503,30135,10397,30397,ATL,1757,2005.0
2017-01-16 13:02:00,2017-01-16,EV,20366,EV,N166PQ,5326,10135,1013503,30135,10397,30397,ATL,1302,1514.0
2017-01-16 06:09:00,2017-01-16,EV,20366,EV,N16919,3761,10135,1013503,30135,13930,30977,ORD,0609,811.0
2017-01-16 12:37:00,2017-01-16,OO,20304,OO,N438SW,4518,10135,1013503,30135,11433,31295,DTW,1237,1418.0
2017-01-16 05:40:00,2017-01-16,OO,20304,OO,N781CA,4513,10135,1013503,30135,11433,31295,DTW,0540,731.0
2017-01-16 17:58:00,2017-01-16,OO,20304,OO,N906SW,4797,10135,1013503,30135,11433,31295,DTW,1758,1934.0
2017-01-17 05:58:00,2017-01-17,DL,19790,DL,N932AT,2561,10135,1013503,30135,10397,30397,ATL,0558,800.0
2017-01-17 17:11:00,2017-01-17,EV,20366,EV,N11544,3982,10135,1013503,30135,13930,30977,ORD,1711,1926.0
2017-01-17 17:51:00,2017-01-17,EV,20366,EV,N134EV,5267,10135,1013503,30135,10397,30397,ATL,1751,2001.0
2017-01-17 06:06:00,2017-01-17,EV,20366,EV,N13914,3761,10135,1013503,30135,13930,30977,ORD,0606,713.0
2017-01-17 05:42:00,2017-01-17,EV,20366,EV,N878AS,5307,10135,1013503,30135,11433,31295,DTW,0542,714.0
2017-01-17 12:35:00,2017-01-17,OO,20304,OO,N8933B,4518,10135,1013503,30135,11433,31295,DTW,1235,1426.0
2017-01-17 17:38:00,2017-01-17,OO,20304,OO,N8968E,4797,10135,1013503,30135,11433,31295,DTW,1738,1930.0
2017-01-18 05:56:00,2017-01-18,DL,19790,DL,N919AT,2561,10135,1013503,30135,10397,30397,ATL,0556,817.0
2017-01-18 06:06:00,2017-01-18,EV,20366,EV,N12569,3761,10135,1013503,30135,13930,30977,ORD,0606,712.0
2017-01-18 17:54:00,2017-01-18,EV,20366,EV,N135EV,5267,10135,1013503,30135,10397,30397,ATL,1754,1956.0
2017-01-18 05:35:00,2017-01-18,EV,20366,EV,N981EV,5307,10135,1013503,30135,11433,31295,DTW,0535,748.0
2017-01-18 17:26:00,2017-01-18,OO,20304,OO,N457SW,4797,10135,1013503,30135,11433,31295,DTW,1726,1930.0
2017-01-18 12:35:00,2017-01-18,OO,20304,OO,N953SW,4518,10135,1013503,30135,11433,31295,DTW,1235,1409.0
2017-01-19 05:58:00,2017-01-19,DL,19790,DL,N979AT,2561,10135,1013503,30135,10397,30397,ATL,0558,801.0
2017-01-19 17:06:00,2017-01-19,EV,20366,EV,N12135,3982,10135,1013503,30135,13930,30977,ORD,1706,1834.0
2017-01-19 06:08:00,2017-01-19,EV,20366,EV,N14203,3761,10135,1013503,30135,13930,30977,ORD,0608,709.0
2017-01-19 17:53:00,2017-01-19,EV,20366,EV,N153PQ,5267,10135,1013503,30135,10397,30397,ATL,1753,2002.0
2017-01-19 12:55:00,2017-01-19,EV,20366,EV,N181PQ,5326,10135,1013503,30135,10397,30397,ATL,1255,1501.0
2017-01-19 05:48:00,2017-01-19,EV,20366,EV,N867AS,5307,10135,1013503,30135,11433,31295,DTW,0548,741.0
2017-01-19 12:31:00,2017-01-19,OO,20304,OO,N868CA,4518,10135,1013503,30135,11433,31295,DTW,1231,1421.0
2017-01-19 17:29:00,2017-01-19,OO,20304,OO,N936SW,4797,10135,1013503,30135,11433,31295,DTW,1729,1927.0
2017-01-20 05:57:00,2017-01-20,DL,19790,DL,N892AT,2561,10135,1013503,30135,10397,30397,ATL,0557,804.0
2017-01-20 12:56:00,2017-01-20,EV,20366,EV,N134EV,5326,10135,1013503,30135,10397,30397,ATL,1256,1455.0
2017-01-20 06:01:00,2017-01-20,EV,20366,EV,N13914,3761,10135,1013503,30135,13930,30977,ORD,0601,705.0
2017-01-20 17:17:00,2017-01-20,EV,20366,EV,N13979,3982,10135,1013503,30135,13930,30977,ORD,1717,1819.0
2017-01-20 17:56:00,2017-01-20,EV,20366,EV,N166PQ,5267,10135,1013503,30135,10397,30397,ATL,1756,2013.0
2017-01-20 05:41:00,2017-01-20,EV,20366,EV,N859AS,5307,10135,1013503,30135,11433,31295,DTW,0541,718.0
2017-01-20 12:35:00,2017-01-20,OO,20304,OO,N885AS,4518,10135,1013503,30135,11433,31295,DTW,1235,1407.0
2017-01-21 05:55:00,2017-01-21,DL,19790,DL,N987AT,2561,10135,1013503,30135,10397,30397,ATL,0555,821.0
2017-01-21 06:04:00,2017-01-21,EV,20366,EV,N13975,3761,10135,1013503,30135,13930,30977,ORD,0604,718.0
2017-01-22 06:38:00,2017-01-22,DL,19790,DL,N607AT,1084,10135,1013503,30135,10397,30397,ATL,0638,853.0
2017-01-22 17:14:00,2017-01-22,EV,20366,EV,N14562,3982,10135,1013503,30135,13930,30977,ORD,1714,1829.0
2017-01-22 06:08:00,2017-01-22,EV,20366,EV,N14920,3761,10135,1013503,30135,13930,30977,ORD,0608,709.0
2017-01-22 20:17:00,2017-01-22,EV,20366,EV,N695CA,5267,10135,1013503,30135,10397,30397,ATL,2017,2229.0
2017-01-22 00:59:00,2017-01-22,OO,20304,OO,N446SW,4797,10135,1013503,30135,11433,31295,DTW,0059,223.0
2017-01-22 07:23:00,2017-01-22,OO,20304,OO,N781CA,3540,10135,1013503,30135,11433,31295,DTW,0723,856.0
2017-01-22 14:26:00,2017-01-22,OO,20304,OO,N875AS,4702,10135,1013503,30135,11433,31295,DTW,1426,1614.0
2017-01-23 05:59:00,2017-01-23,DL,19790,DL,N925AT,2561,10135,1013503,30135,10397,30397,ATL,0559,758.0
