DEP_DELAY,ARR_DELAY,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,Full_Departure_Datetime
-3.0,-17.0,0,0.0,0.0,2017-01-18 06:06:00
-6.0,-29.0,0,0.0,0.0,2017-01-18 17:54:00
-10.0,7.0,0,0.0,0.0,2017-01-18 05:35:00
-6.0,8.0,0,0.0,0.0,2017-01-18 17:26:00
-5.0,-23.0,0,0.0,0.0,2017-01-18 12:35:00
-2.0,-15.0,0,0.0,0.0,2017-01-19 05:58:00
-9.0,-1.0,0,0.0,0.0,2017-01-19 17:06:00
-1.0,-20.0,0,0.0,0.0,2017-01-19 06:08:00
-7.0,-23.0,0,0.0,0.0,2017-01-19 17:53:00
-7.0,-24.0,0,0.0,0.0,2017-01-19 12:55:00
3.0,0.0,0,0.0,0.0,2017-01-19 05:48:00
-9.0,-11.0,0,0.0,0.0,2017-01-19 12:31:00
-3.0,5.0,0,0.0,0.0,2017-01-19 17:29:00
-3.0,-12.0,0,0.0,0.0,2017-01-20 05:57:00
-6.0,-30.0,0,0.0,0.0,2017-01-20 12:56:00
-8.0,-24.0,0,0.0,0.0,2017-01-20 06:01:00
2.0,-16.0,0,0.0,0.0,2017-01-20 17:17:00
-4.0,-12.0,0,0.0,0.0,2017-01-20 17:56:00
-4.0,-23.0,0,0.0,0.0,2017-01-20 05:41:00
-5.0,-25.0,0,0.0,0.0,2017-01-20 12:35:00
-5.0,8.0,0,0.0,0.0,2017-01-21 05:55:00
-5.0,-11.0,0,0.0,0.0,2017-01-21 06:04:00
-2.0,-6.0,0,0.0,0.0,2017-01-22 06:38:00
-1.0,-6.0,0,0.0,0.0,2017-01-22 17:14:00
-1.0,-20.0,0,0.0,0.0,2017-01-22 06:08:00
137.0,124.0,0,38.0,0.0,2017-01-22 20:17:00
447.0,421.0,0,421.0,0.0,2017-01-22 00:59:00
98.0,75.0,0,0.0,75.0,2017-01-22 07:23:00
106.0,102.0,0,12.0,0.0,2017-01-22 14:26:00
-1.0,-18.0,0,0.0,0.0,2017-01-23 05:59:00
10.0,-11.0,0,0.0,0.0,2017-01-23 06:19:00
39.0,13.0,0,0.0,0.0,2017-01-23 18:39:00
19.0,17.0,0,0.0,0.0,2017-01-23 17:34:00
-3.0,-23.0,0,0.0,0.0,2017-01-23 12:59:00
307.0,279.0,0,279.0,0.0,2017-01-23 10:52:00
-6.0,-16.0,0,0.0,0.0,2017-01-23 17:26:00
4.0,-14.0,0,0.0,0.0,2017-01-23 12:44:00
-7.0,-21.0,0,0.0,0.0,2017-01-24 05:53:00
-11.0,-11.0,0,0.0,0.0,2017-01-24 17:04:00
-7.0,-26.0,0,0.0,0.0,2017-01-24 17:53:00
262.0,267.0,0,0.0,0.0,2017-01-24 10:31:00
-11.0,-30.0,0,0.0,0.0,2017-01-24 05:34:00
-4.0,-16.0,0,0.0,0.0,2017-01-24 12:36:00
0.0,-7.0,0,0.0,0.0,2017-01-24 17:32:00
-3.0,-14.0,0,0.0,0.0,2017-01-25 05:57:00
-6.0,11.0,0,0.0,0.0,2017-01-25 06:03:00
-5.0,-18.0,0,0.0,0.0,2017-01-25 17:55:00
-5.0,10.0,0,0.0,0.0,2017-01-25 05:40:00
-10.0,5.0,0,0.0,0.0,2017-01-25 12:30:00
-5.0,-2.0,0,0.0,0.0,2017-01-25 17:27:00
-7.0,-7.0,0,0.0,0.0,2017-01-26 05:53:00
-4.0,-19.0,0,0.0,0.0,2017-01-26 17:11:00
-5.0,-18.0,0,0.0,0.0,2017-01-26 06:04:00
-6.0,-23.0,0,0.0,0.0,2017-01-26 12:56:00
-7.0,-24.0,0,0.0,0.0,2017-01-26 17:53:00
-10.0,-6.0,0,0.0,0.0,2017-01-26 05:35:00
-4.0,0.0,0,0.0,0.0,2017-01-26 17:28:00
-6.0,9.0,0,0.0,0.0,2017-01-26 12:34:00
-1.0,-12.0,0,0.0,0.0,2017-01-27 05:59:00
-4.0,-16.0,0,0.0,0.0,2017-01-27 06:05:00
16.0,-3.0,0,0.0,0.0,2017-01-27 17:31:00
-3.0,-11.0,0,0.0,0.0,2017-01-27 12:59:00
109.0,90.0,0,0.0,0.0,2017-01-27 19:49:00
-5.0,-15.0,0,0.0,0.0,2017-01-27 05:40:00
2.0,-1.0,0,0.0,0.0,2017-01-27 12:42:00
34.0,31.0,0,0.0,0.0,2017-01-27 18:06:00
0.0,-5.0,0,0.0,0.0,2017-01-28 06:00:00
-2.0,-11.0,0,0.0,0.0,2017-01-28 06:07:00
-5.0,-20.0,0,0.0,0.0,2017-01-28 05:40:00
0.0,-8.0,0,0.0,0.0,2017-01-29 06:40:00
1.0,-14.0,0,0.0,0.0,2017-01-29 06:10:00
22.0,3.0,0,0.0,0.0,2017-01-29 17:37:00
2.0,-18.0,0,0.0,0.0,2017-01-29 18:02:00
-6.0,-8.0,0,0.0,0.0,2017-01-29 05:39:00
7.0,-5.0,0,0.0,0.0,2017-01-29 12:47:00
61.0,56.0,0,0.0,0.0,2017-01-29 18:33:00
0.0,10.0,0,0.0,0.0,2017-01-30 06:00:00
-6.0,-11.0,0,0.0,0.0,2017-01-30 17:54:00
-7.0,-3.0,0,0.0,0.0,2017-01-30 06:02:00
-1.0,11.0,0,0.0,0.0,2017-01-30 17:14:00
155.0,121.0,0,0.0,0.0,2017-01-30 15:37:00
-5.0,-13.0,0,0.0,0.0,2017-01-30 12:35:00
3.0,9.0,0,0.0,0.0,2017-01-30 17:35:00
-6.0,-17.0,0,0.0,0.0,2017-01-31 05:54:00
-7.0,5.0,0,0.0,0.0,2017-01-31 06:02:00
-7.0,-3.0,0,0.0,0.0,2017-01-31 17:08:00
-4.0,-19.0,0,0.0,0.0,2017-01-31 17:56:00
-7.0,-14.0,0,0.0,0.0,2017-01-31 05:38:00
227.0,0.0,0,0.0,0.0,2017-01-31 21:19:00
-7.0,16.0,0,0.0,0.0,2017-01-31 12:33:00
-1.0,5.0,0,0.0,0.0,2017-02-01 05:59:00
-4.0,-12.0,0,0.0,0.0,2017-02-01 17:56:00
1.0,22.0,0,1.0,0.0,2017-02-01 06:10:00
114.0,109.0,0,109.0,0.0,2017-02-01 07:39:00
-4.0,1.0,0,0.0,0.0,2017-02-01 12:36:00
-8.0,4.0,0,0.0,0.0,2017-02-01 17:24:00
0.0,-12.0,0,0.0,0.0,2017-02-02 06:00:00
0.0,9.0,0,0.0,0.0,2017-02-02 06:09:00
-5.0,-18.0,0,0.0,0.0,2017-02-02 17:55:00
-11.0,-27.0,0,0.0,0.0,2017-02-02 12:51:00
-3.0,3.0,0,0.0,0.0,2017-02-02 17:12:00
-6.0,-21.0,0,0.0,0.0,2017-02-02 05:39:00
-10.0,-21.0,0,0.0,0.0,2017-02-02 12:30:00
-13.0,-19.0,0,0.0,0.0,2017-02-02 17:19:00
-5.0,-15.0,0,0.0,0.0,2017-02-03 05:55:00
-9.0,-16.0,0,0.0,0.0,2017-02-03 17:00:00
-5.0,-14.0,0,0.0,0.0,2017-02-03 12:57:00
-3.0,-25.0,0,0.0,0.0,2017-02-03 17:57:00
