Unnamed: 0,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,DEST_AIRPORT_ID,DEST_CITY_MARKET_ID,DEST,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,Full_Departure_Datetime
108092,2017-01-08,DL,19790,DL,N991AT,1084,10135,1013503,30135,10397,30397,ATL,0730,50.0,925.0,26.0,0.0,26.0,0.0,2017-01-08 07:30:00
108380,2017-01-08,EV,20366,EV,N135EV,5267,10135,1013503,30135,10397,30397,ATL,2019,139.0,2214.0,109.0,0.0,0.0,0.0,2017-01-08 20:19:00
108484,2017-01-08,EV,20366,EV,N14542,3761,10135,1013503,30135,13930,30977,ORD,0629,20.0,744.0,15.0,0.0,15.0,0.0,2017-01-08 06:29:00
108543,2017-01-08,EV,20366,EV,N14993,3982,10135,1013503,30135,13930,30977,ORD,2005,170.0,2124.0,169.0,0.0,0.0,0.0,2017-01-08 20:05:00
110877,2017-01-08,OO,20304,OO,N685BR,4518,10135,1013503,30135,11433,31295,DTW,1234,-6.0,1424.0,-8.0,0.0,0.0,0.0,2017-01-08 12:34:00
111381,2017-01-08,OO,20304,OO,N8933B,3540,10135,1013503,30135,11433,31295,DTW,0545,0.0,727.0,-14.0,0.0,0.0,0.0,2017-01-08 05:45:00
111452,2017-01-08,OO,20304,OO,N910EV,3556,10135,1013503,30135,11433,31295,DTW,1740,8.0,1930.0,8.0,0.0,0.0,0.0,2017-01-08 17:40:00
122625,2017-01-09,DL,19790,DL,N986AT,2561,10135,1013503,30135,10397,30397,ATL,0601,1.0,759.0,-17.0,0.0,0.0,0.0,2017-01-09 06:01:00
123042,2017-01-09,EV,20366,EV,N13989,3982,10135,1013503,30135,13930,30977,ORD,1715,0.0,1853.0,18.0,0.0,0.0,0.0,2017-01-09 17:15:00
123251,2017-01-09,EV,20366,EV,N16559,3761,10135,1013503,30135,13930,30977,ORD,0605,-4.0,812.0,43.0,0.0,0.0,0.0,2017-01-09 06:05:00
123357,2017-01-09,EV,20366,EV,N195PQ,5267,10135,1013503,30135,10397,30397,ATL,1823,23.0,2018.0,-7.0,0.0,0.0,0.0,2017-01-09 18:23:00
123612,2017-01-09,EV,20366,EV,N709EV,5326,10135,1013503,30135,10397,30397,ATL,1451,109.0,1639.0,74.0,0.0,0.0,0.0,2017-01-09 14:51:00
123825,2017-01-09,EV,20366,EV,N878AS,5307,10135,1013503,30135,11433,31295,DTW,0641,56.0,854.0,73.0,0.0,56.0,0.0,2017-01-09 06:41:00
125559,2017-01-09,OO,20304,OO,N629BR,4518,10135,1013503,30135,11433,31295,DTW,1242,2.0,1428.0,-4.0,0.0,0.0,0.0,2017-01-09 12:42:00
125563,2017-01-09,OO,20304,OO,N629BR,4801,10135,1013503,30135,11433,31295,DTW,1730,-2.0,1927.0,5.0,0.0,0.0,0.0,2017-01-09 17:30:00
137400,2017-01-10,DL,19790,DL,N965AT,2561,10135,1013503,30135,10397,30397,ATL,0557,-3.0,816.0,0.0,0.0,0.0,0.0,2017-01-10 05:57:00
138110,2017-01-10,EV,20366,EV,N16149,3761,10135,1013503,30135,13930,30977,ORD,0605,-4.0,722.0,-7.0,0.0,0.0,0.0,2017-01-10 06:05:00
138373,2017-01-10,EV,20366,EV,N605QX,5267,10135,1013503,30135,10397,30397,ATL,1755,-5.0,2011.0,-14.0,0.0,0.0,0.0,2017-01-10 17:55:00
138748,2017-01-10,EV,20366,EV,N917EV,5307,10135,1013503,30135,11433,31295,DTW,1000,255.0,1145.0,244.0,0.0,244.0,0.0,2017-01-10 10:00:00
140130,2017-01-10,OO,20304,OO,N439SW,4518,10135,1013503,30135,11433,31295,DTW,1252,12.0,1443.0,11.0,0.0,0.0,0.0,2017-01-10 12:52:00
140150,2017-01-10,OO,20304,OO,N442SW,4797,10135,1013503,30135,11433,31295,DTW,1740,8.0,1930.0,8.0,0.0,0.0,0.0,2017-01-10 17:40:00
151623,2017-01-11,DL,19790,DL,N921AT,2561,10135,1013503,30135,10397,30397,ATL,0557,-3.0,806.0,-10.0,0.0,0.0,0.0,2017-01-11 05:57:00
152715,2017-01-11,EV,20366,EV,N13538,3761,10135,1013503,30135,13930,30977,ORD,0559,-10.0,731.0,2.0,0.0,0.0,0.0,2017-01-11 05:59:00
152917,2017-01-11,EV,20366,EV,N153PQ,5267,10135,1013503,30135,10397,30397,ATL,1757,-3.0,2003.0,-22.0,0.0,0.0,0.0,2017-01-11 17:57:00
153507,2017-01-11,EV,20366,EV,N881AS,5307,10135,1013503,30135,11433,31295,DTW,1241,416.0,1427.0,406.0,0.0,406.0,0.0,2017-01-11 12:41:00
154977,2017-01-11,OO,20304,OO,N443SW,4518,10135,1013503,30135,11433,31295,DTW,1231,-9.0,1412.0,-20.0,0.0,0.0,0.0,2017-01-11 12:31:00
155052,2017-01-11,OO,20304,OO,N457SW,4797,10135,1013503,30135,11433,31295,DTW,1723,-9.0,1921.0,-1.0,0.0,0.0,0.0,2017-01-11 17:23:00
166959,2017-01-12,DL,19790,DL,N940AT,2561,10135,1013503,30135,10397,30397,ATL,0557,-3.0,756.0,-20.0,0.0,0.0,0.0,2017-01-12 05:57:00
167629,2017-01-12,EV,20366,EV,N10575,3761,10135,1013503,30135,13930,30977,ORD,0601,-8.0,744.0,15.0,0.0,0.0,0.0,2017-01-12 06:01:00
168039,2017-01-12,EV,20366,EV,N14916,3982,10135,1013503,30135,13930,30977,ORD,1813,58.0,1943.0,68.0,0.0,8.0,0.0,2017-01-12 18:13:00
168249,2017-01-12,EV,20366,EV,N186PQ,5326,10135,1013503,30135,10397,30397,ATL,1306,4.0,1513.0,-12.0,0.0,0.0,0.0,2017-01-12 13:06:00
168373,2017-01-12,EV,20366,EV,N606LR,5267,10135,1013503,30135,10397,30397,ATL,1755,-5.0,1958.0,-27.0,0.0,0.0,0.0,2017-01-12 17:55:00
168664,2017-01-12,EV,20366,EV,N871AS,5307,10135,1013503,30135,11433,31295,DTW,0541,-4.0,713.0,-28.0,0.0,0.0,0.0,2017-01-12 05:41:00
170443,2017-01-12,OO,20304,OO,N685BR,4518,10135,1013503,30135,11433,31295,DTW,1235,-5.0,1430.0,-2.0,0.0,0.0,0.0,2017-01-12 12:35:00
171004,2017-01-12,OO,20304,OO,N889AS,4797,10135,1013503,30135,11433,31295,DTW,1724,-8.0,1930.0,8.0,0.0,0.0,0.0,2017-01-12 17:24:00
182795,2017-01-13,DL,19790,DL,N974AT,2561,10135,1013503,30135,10397,30397,ATL,0554,-6.0,754.0,-22.0,0.0,0.0,0.0,2017-01-13 05:54:00
183082,2017-01-13,EV,20366,EV,N11192,3982,10135,1013503,30135,13930,30977,ORD,1708,-7.0,1837.0,2.0,0.0,0.0,0.0,2017-01-13 17:08:00
183273,2017-01-13,EV,20366,EV,N137EV,5326,10135,1013503,30135,10397,30397,ATL,1304,2.0,1513.0,-12.0,0.0,0.0,0.0,2017-01-13 13:04:00
183574,2017-01-13,EV,20366,EV,N16919,3761,10135,1013503,30135,13930,30977,ORD,0604,-5.0,724.0,-5.0,0.0,0.0,0.0,2017-01-13 06:04:00
183681,2017-01-13,EV,20366,EV,N232PQ,5267,10135,1013503,30135,10397,30397,ATL,1755,-5.0,2011.0,-14.0,0.0,0.0,0.0,2017-01-13 17:55:00
184098,2017-01-13,EV,20366,EV,N873AS,5307,10135,1013503,30135,11433,31295,DTW,0535,-10.0,715.0,-26.0,0.0,0.0,0.0,2017-01-13 05:35:00
185571,2017-01-13,OO,20304,OO,N431SW,4797,10135,1013503,30135,11433,31295,DTW,1730,-2.0,1932.0,10.0,0.0,0.0,0.0,2017-01-13 17:30:00
186473,2017-01-13,OO,20304,OO,N8933B,4518,10135,1013503,30135,11433,31295,DTW,1231,-9.0,1414.0,-18.0,0.0,0.0,0.0,2017-01-13 12:31:00
196766,2017-01-14,DL,19790,DL,N968AT,2561,10135,1013503,30135,10397,30397,ATL,0559,-1.0,758.0,-15.0,0.0,0.0,0.0,2017-01-14 05:59:00
197157,2017-01-14,EV,20366,EV,N14568,3761,10135,1013503,30135,13930,30977,ORD,0603,-6.0,732.0,3.0,0.0,0.0,0.0,2017-01-14 06:03:00
209145,2017-01-15,DL,19790,DL,N989AT,1084,10135,1013503,30135,10397,30397,ATL,0648,-1.0,907.0,2.0,0.0,0.0,0.0,2017-01-15 06:48:00
209229,2017-01-15,EV,20366,EV,N10575,3761,10135,1013503,30135,13930,30977,ORD,0608,-1.0,748.0,19.0,0.0,0.0,0.0,2017-01-15 06:08:00
209280,2017-01-15,EV,20366,EV,N11547,3982,10135,1013503,30135,13930,30977,ORD,1708,-7.0,1819.0,-16.0,0.0,0.0,0.0,2017-01-15 17:08:00
212055,2017-01-15,OO,20304,OO,N8968E,4518,10135,1013503,30135,11433,31295,DTW,1236,-4.0,1444.0,12.0,0.0,0.0,0.0,2017-01-15 12:36:00
222667,2017-01-16,DL,19790,DL,N950AT,2561,10135,1013503,30135,10397,30397,ATL,0556,-4.0,900.0,44.0,0.0,0.0,0.0,2017-01-16 05:56:00
223575,2017-01-16,EV,20366,EV,N146PQ,5267,10135,1013503,30135,10397,30397,ATL,1757,-3.0,2005.0,-20.0,0.0,0.0,0.0,2017-01-16 17:57:00
223684,2017-01-16,EV,20366,EV,N166PQ,5326,10135,1013503,30135,10397,30397,ATL,1302,0.0,1514.0,-11.0,0.0,0.0,0.0,2017-01-16 13:02:00
223692,2017-01-16,EV,20366,EV,N16919,3761,10135,1013503,30135,13930,30977,ORD,0609,0.0,811.0,42.0,0.0,0.0,0.0,2017-01-16 06:09:00
225722,2017-01-16,OO,20304,OO,N438SW,4518,10135,1013503,30135,11433,31295,DTW,1237,-3.0,1418.0,-14.0,0.0,0.0,0.0,2017-01-16 12:37:00
226318,2017-01-16,OO,20304,OO,N781CA,4513,10135,1013503,30135,11433,31295,DTW,0540,-5.0,731.0,-10.0,0.0,0.0,0.0,2017-01-16 05:40:00
226647,2017-01-16,OO,20304,OO,N906SW,4797,10135,1013503,30135,11433,31295,DTW,1758,26.0,1934.0,12.0,0.0,0.0,0.0,2017-01-16 17:58:00
237346,2017-01-17,DL,19790,DL,N932AT,2561,10135,1013503,30135,10397,30397,ATL,0558,-2.0,800.0,-16.0,0.0,0.0,0.0,2017-01-17 05:58:00
238153,2017-01-17,EV,20366,EV,N11544,3982,10135,1013503,30135,13930,30977,ORD,1711,-4.0,1926.0,51.0,0.0,0.0,0.0,2017-01-17 17:11:00
238299,2017-01-17,EV,20366,EV,N134EV,5267,10135,1013503,30135,10397,30397,ATL,1751,-9.0,2001.0,-24.0,0.0,0.0,0.0,2017-01-17 17:51:00
238344,2017-01-17,EV,20366,EV,N13914,3761,10135,1013503,30135,13930,30977,ORD,0606,-3.0,713.0,-16.0,0.0,0.0,0.0,2017-01-17 06:06:00
239075,2017-01-17,EV,20366,EV,N878AS,5307,10135,1013503,30135,11433,31295,DTW,0542,-3.0,714.0,-27.0,0.0,0.0,0.0,2017-01-17 05:42:00
241350,2017-01-17,OO,20304,OO,N8933B,4518,10135,1013503,30135,11433,31295,DTW,1235,-5.0,1426.0,-6.0,0.0,0.0,0.0,2017-01-17 12:35:00
241372,2017-01-17,OO,20304,OO,N8968E,4797,10135,1013503,30135,11433,31295,DTW,1738,6.0,1930.0,8.0,0.0,0.0,0.0,2017-01-17 17:38:00
251957,2017-01-18,DL,19790,DL,N919AT,2561,10135,1013503,30135,10397,30397,ATL,0556,-4.0,817.0,1.0,0.0,0.0,0.0,2017-01-18 05:56:00
253050,2017-01-18,EV,20366,EV,N12569,3761,10135,1013503,30135,13930,30977,ORD,0606,-3.0,712.0,-17.0,0.0,0.0,0.0,2017-01-18 06:06:00
253118,2017-01-18,EV,20366,EV,N135EV,5267,10135,1013503,30135,10397,30397,ATL,1754,-6.0,1956.0,-29.0,0.0,0.0,0.0,2017-01-18 17:54:00
254033,2017-01-18,EV,20366,EV,N981EV,5307,10135,1013503,30135,11433,31295,DTW,0535,-10.0,748.0,7.0,0.0,0.0,0.0,2017-01-18 05:35:00
255433,2017-01-18,OO,20304,OO,N457SW,4797,10135,1013503,30135,11433,31295,DTW,1726,-6.0,1930.0,8.0,0.0,0.0,0.0,2017-01-18 17:26:00
256466,2017-01-18,OO,20304,OO,N953SW,4518,10135,1013503,30135,11433,31295,DTW,1235,-5.0,1409.0,-23.0,0.0,0.0,0.0,2017-01-18 12:35:00
267770,2017-01-19,DL,19790,DL,N979AT,2561,10135,1013503,30135,10397,30397,ATL,0558,-2.0,801.0,-15.0,0.0,0.0,0.0,2017-01-19 05:58:00
268086,2017-01-19,EV,20366,EV,N12135,3982,10135,1013503,30135,13930,30977,ORD,1706,-9.0,1834.0,-1.0,0.0,0.0,0.0,2017-01-19 17:06:00
268319,2017-01-19,EV,20366,EV,N14203,3761,10135,1013503,30135,13930,30977,ORD,0608,-1.0,709.0,-20.0,0.0,0.0,0.0,2017-01-19 06:08:00
268431,2017-01-19,EV,20366,EV,N153PQ,5267,10135,1013503,30135,10397,30397,ATL,1753,-7.0,2002.0,-23.0,0.0,0.0,0.0,2017-01-19 17:53:00
268567,2017-01-19,EV,20366,EV,N181PQ,5326,10135,1013503,30135,10397,30397,ATL,1255,-7.0,1501.0,-24.0,0.0,0.0,0.0,2017-01-19 12:55:00
268989,2017-01-19,EV,20366,EV,N867AS,5307,10135,1013503,30135,11433,31295,DTW,0548,3.0,741.0,0.0,0.0,0.0,0.0,2017-01-19 05:48:00
271323,2017-01-19,OO,20304,OO,N868CA,4518,10135,1013503,30135,11433,31295,DTW,1231,-9.0,1421.0,-11.0,0.0,0.0,0.0,2017-01-19 12:31:00
271619,2017-01-19,OO,20304,OO,N936SW,4797,10135,1013503,30135,11433,31295,DTW,1729,-3.0,1927.0,5.0,0.0,0.0,0.0,2017-01-19 17:29:00
282147,2017-01-20,DL,19790,DL,N892AT,2561,10135,1013503,30135,10397,30397,ATL,0557,-3.0,804.0,-12.0,0.0,0.0,0.0,2017-01-20 05:57:00
283620,2017-01-20,EV,20366,EV,N134EV,5326,10135,1013503,30135,10397,30397,ATL,1256,-6.0,1455.0,-30.0,0.0,0.0,0.0,2017-01-20 12:56:00
283674,2017-01-20,EV,20366,EV,N13914,3761,10135,1013503,30135,13930,30977,ORD,0601,-8.0,705.0,-24.0,0.0,0.0,0.0,2017-01-20 06:01:00
283693,2017-01-20,EV,20366,EV,N13979,3982,10135,1013503,30135,13930,30977,ORD,1717,2.0,1819.0,-16.0,0.0,0.0,0.0,2017-01-20 17:17:00
283924,2017-01-20,EV,20366,EV,N166PQ,5267,10135,1013503,30135,10397,30397,ATL,1756,-4.0,2013.0,-12.0,0.0,0.0,0.0,2017-01-20 17:56:00
284394,2017-01-20,EV,20366,EV,N859AS,5307,10135,1013503,30135,11433,31295,DTW,0541,-4.0,718.0,-23.0,0.0,0.0,0.0,2017-01-20 05:41:00
286806,2017-01-20,OO,20304,OO,N885AS,4518,10135,1013503,30135,11433,31295,DTW,1235,-5.0,1407.0,-25.0,0.0,0.0,0.0,2017-01-20 12:35:00
297358,2017-01-21,DL,19790,DL,N987AT,2561,10135,1013503,30135,10397,30397,ATL,0555,-5.0,821.0,8.0,0.0,0.0,0.0,2017-01-21 05:55:00
297598,2017-01-21,EV,20366,EV,N13975,3761,10135,1013503,30135,13930,30977,ORD,0604,-5.0,718.0,-11.0,0.0,0.0,0.0,2017-01-21 06:04:00
308736,2017-01-22,DL,19790,DL,N607AT,1084,10135,1013503,30135,10397,30397,ATL,0638,-2.0,853.0,-6.0,0.0,0.0,0.0,2017-01-22 06:38:00
310635,2017-01-22,EV,20366,EV,N14562,3982,10135,1013503,30135,13930,30977,ORD,1714,-1.0,1829.0,-6.0,0.0,0.0,0.0,2017-01-22 17:14:00
310694,2017-01-22,EV,20366,EV,N14920,3761,10135,1013503,30135,13930,30977,ORD,0608,-1.0,709.0,-20.0,0.0,0.0,0.0,2017-01-22 06:08:00
311063,2017-01-22,EV,20366,EV,N695CA,5267,10135,1013503,30135,10397,30397,ATL,2017,137.0,2229.0,124.0,0.0,38.0,0.0,2017-01-22 20:17:00
312733,2017-01-22,OO,20304,OO,N446SW,4797,10135,1013503,30135,11433,31295,DTW,0059,447.0,223.0,421.0,0.0,421.0,0.0,2017-01-22 00:59:00
313242,2017-01-22,OO,20304,OO,N781CA,3540,10135,1013503,30135,11433,31295,DTW,0723,98.0,856.0,75.0,0.0,0.0,75.0,2017-01-22 07:23:00
313441,2017-01-22,OO,20304,OO,N875AS,4702,10135,1013503,30135,11433,31295,DTW,1426,106.0,1614.0,102.0,0.0,12.0,0.0,2017-01-22 14:26:00
323936,2017-01-23,DL,19790,DL,N925AT,2561,10135,1013503,30135,10397,30397,ATL,0559,-1.0,758.0,-18.0,0.0,0.0,0.0,2017-01-23 05:59:00
324947,2017-01-23,EV,20366,EV,N12167,3761,10135,1013503,30135,13930,30977,ORD,0619,10.0,718.0,-11.0,0.0,0.0,0.0,2017-01-23 06:19:00
